Nama;Lokasi;Fasilitas;Review; Harga ;;;
Kost Safars;Sukolilo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost ITS Marina Barat Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.675.000 ;;;
Kost ITS N Hang Tuah Tipe B;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.550.000 ;;;
Kost Amanah 5;Sukolilo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp850.000 ;;;
Kost Mahasiswa 25;Sukolilo;WiFi, Kloset Duduk, Akses 24 Jam;-; Rp750.000 ;;;
Kost Faleci;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.350.000 ;;;
Kost Ariza Tipe A;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.000.000 ;;;
Kost Susan Tipe VIP;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp2.200.000 ;;;
Kost Dewo Dewi Tipe A;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp900.000 ;;;
Kost 21 Eksklusif Tipe A;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Abu Bakar Tipe A;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost Bu Nur Tipe C2;Sukolilo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost W2 ITS;Sukolilo;WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.050.000 ;;;
Kost Semolowaru Utara 141;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp500.000 ;;;
Kost Tegal;Mulyorejo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Bu Iis Tipe A;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.700.000 ;;;
Kost Spr A3 Tipe E;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost Sharing;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp583.333 ;;;
Kost KTT325;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.150.000 ;;;
Kost Asem Payung;Sukolilo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.200.000 ;;;
Kost P Wayan Tipe AC;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.000.000 ;;;
Kost Bu Maula;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp550.000 ;;;
Kost Pak Dachlan Tipe C;Mulyorejo;WiFi, Kloset Duduk, Akses 24 Jam;-; Rp700.000 ;;;
Kost B19 Tipe A;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.200.000 ;;;
Kost Bu Novi I;Sukolilo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost ITS Hangtuah;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.600.000 ;;;
Kost Keputih ITS;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp650.000 ;;;
